Iteration,Angle,Angle_Velocity,Angle_Accel,Distance,Velocity,Force,Nc
1,-0.002,-18.217,,0.005,0.164,001,
2,-0.366,-34.987,,0.008,0.359,001,
3,-1.066,-51.872,,0.015,0.554,001,
4,-2.103,-68.973,,0.026,0.749,001,
5,-3.483,-86.388,,0.041,0.945,001,
6,-5.210,-104.209,,0.060,1.141,001,
7,-7.294,-122.514,,0.083,1.337,001,
8,-9.745,-141.373,,0.110,1.533,001,
9,-12.572,-160.834,,0.141,1.729,001,
10,-15.789,-180.927,,0.175,1.925,001,
11,-19.407,-201.651,,0.214,2.120,001,
12,-23.440,-222.977,,0.256,2.314,001,
13,-27.900,-244.837,,0.302,2.506,001,
14,-32.797,-267.126,,0.352,2.696,001,
15,-38.139,-289.700,,0.406,2.882,001,
16,-43.933,-312.379,,0.464,3.064,001,
17,-50.181,-334.958,,0.525,3.240,001,
18,-56.880,-357.211,,0.590,3.409,001,
19,-64.024,-378.909,,0.658,3.571,001,
20,-71.602,-399.825,,0.730,3.724,001,
21,-79.599,-419.736,,0.804,3.869,001,
22,-87.994,-438.422,,0.882,4.005,001,
23,-96.762,-455.646,,0.962,4.134,001,
24,-105.875,-471.126,,1.044,4.258,001,
25,-115.297,-484.512,,1.130,4.378,001,
26,-124.988,-495.358,,1.217,4.497,001,
27,-134.895,-503.116,,1.307,4.620,001,
28,-144.957,-507.170,,1.399,4.749,001,
29,-155.101,-506.915,,1.494,4.890,001,
30,-165.239,-501.887,,1.592,5.046,001,
31,-175.277,-491.909,,1.693,5.218,001,
32,-185.115,-477.200,,1.797,5.406,001,
33,-194.659,-458.380,,1.906,5.608,001,
34,-203.826,-436.371,,2.018,5.821,001,
35,-212.554,-412.219,,2.134,6.042,001,
36,-220.798,-386.924,,2.255,6.266,001,
37,-228.537,-361.326,,2.380,6.490,001,
38,-235.763,-336.059,,2.510,6.713,001,
39,-242.484,-311.562,,2.644,6.931,001,
40,-248.716,-288.116,,2.783,7.145,001,
41,-254.478,-265.880,,2.926,7.355,001,
42,-259.796,-244.931,,3.073,7.560,001,
43,-264.694,-225.293,,3.224,7.761,001,
44,-269.200,-206.954,,3.379,7.958,001,
45,-273.339,-189.878,,3.539,8.152,001,
46,-277.137,-174.018,,3.702,8.343,001,
47,-280.617,-159.318,,3.869,8.532,001,
48,-283.803,-145.718,,4.039,8.719,001,
49,-286.718,-133.156,,4.214,8.904,001,
50,-289.381,-121.569,,4.392,9.088,001,
51,-291.812,-100.445,,4.573,8.904,000,
52,-293.821,-78.880,,4.751,8.718,000,
53,-295.399,-56.970,,4.926,8.531,000,
54,-296.538,-34.802,,5.096,8.343,000,
55,-297.234,-12.458,,5.263,8.153,000,
56,-297.483,9.989,,5.426,7.963,000,
57,-297.284,32.470,,5.586,7.773,000,
58,-296.634,54.915,,5.741,7.584,000,
59,-295.536,77.255,,5.893,7.395,000,
60,-293.991,99.416,,6.041,7.207,000,
61,-292.002,121.319,,6.185,7.020,000,
62,-289.576,142.876,,6.325,6.836,000,
63,-286.719,163.991,,6.462,6.654,000,
64,-283.439,184.559,,6.595,6.474,000,
65,-279.748,204.464,,6.724,6.298,000,
66,-275.658,223.583,,6.850,6.125,000,
67,-271.187,241.782,,6.973,5.956,000,
68,-266.351,258.919,,7.092,5.790,000,
69,-261.173,274.841,,7.208,5.627,000,
70,-255.676,289.384,,7.320,5.468,000,
71,-249.888,302.371,,7.430,5.311,000,
72,-243.841,313.609,,7.536,5.156,000,
73,-237.568,322.889,,7.639,5.002,000,
74,-231.111,329.989,,7.739,4.847,000,
75,-224.511,334.682,,7.836,4.691,000,
76,-217.817,336.753,,7.930,4.533,000,
77,-211.082,336.013,,8.021,4.370,000,
78,-204.362,332.331,,8.108,4.201,000,
79,-197.715,325.654,,8.192,4.027,000,
80,-191.202,316.031,,8.272,3.847,000,
81,-184.882,303.614,,8.349,3.661,000,
82,-178.809,288.651,,8.423,3.470,000,
83,-173.036,271.466,,8.492,3.274,000,
84,-167.607,252.422,,8.558,3.074,000,
85,-162.559,231.892,,8.619,2.873,000,
86,-157.921,210.225,,8.676,2.670,000,
87,-153.716,187.729,,8.730,2.467,000,
88,-149.962,164.662,,8.779,2.265,000,
89,-146.668,141.225,,8.824,2.063,000,
90,-143.844,117.570,,8.866,1.862,000,
91,-141.493,93.801,,8.903,1.663,000,
92,-139.617,69.989,,8.936,1.465,000,
93,-138.217,46.173,,8.966,1.268,000,
94,-137.293,22.369,,8.991,1.072,000,
95,-136.846,-1.420,,9.012,0.876,000,
96,-136.874,-25.204,,9.030,0.680,000,
97,-137.378,-48.996,,9.043,0.485,000,
98,-138.358,-72.808,,9.053,0.288,000,
99,-139.814,-96.649,,9.059,0.091,000,
100,-141.747,-120.516,,9.061,-0.106,000,
101,-144.158,-118.769,,9.059,0.074,001,
102,-146.533,-116.001,,9.060,0.255,001,
103,-148.853,-112.222,,9.065,0.438,001,
104,-151.098,-107.456,,9.074,0.621,001,
105,-153.247,-101.735,,9.086,0.805,001,
106,-155.281,-95.103,,9.102,0.990,001,
107,-157.184,-87.613,,9.122,1.176,001,
108,-158.936,-79.327,,9.146,1.363,001,
109,-160.522,-70.315,,9.173,1.551,001,
110,-161.929,-60.651,,9.204,1.740,001,
111,-163.142,-50.416,,9.239,1.929,001,
112,-164.150,-39.694,,9.278,2.119,001,
113,-164.944,-28.571,,9.320,2.309,001,
114,-165.515,-17.134,,9.366,2.500,001,
115,-165.858,-5.475,,9.416,2.690,001,
116,-165.967,6.318,,9.470,2.881,001,
117,-165.841,18.153,,9.527,3.072,001,
118,-165.478,29.937,,9.589,3.263,001,
119,-164.879,41.579,,9.654,3.454,001,
120,-164.048,52.984,,9.723,3.644,001,
121,-162.988,64.059,,9.796,3.834,001,
122,-161.707,74.710,,9.873,4.024,001,
123,-160.213,84.842,,9.953,4.213,001,
124,-158.516,94.364,,10.038,4.401,001,
125,-156.629,103.183,,10.126,4.588,001,
126,-154.565,111.214,,10.217,4.775,001,
127,-152.341,118.375,,10.313,4.960,001,
128,-149.973,124.591,,10.412,5.145,001,
129,-147.481,129.796,,10.515,5.328,001,
130,-144.885,133.936,,10.622,5.510,001,
131,-142.207,136.966,,10.732,5.691,001,
132,-139.467,138.856,,10.846,5.871,001,
133,-136.690,139.587,,10.963,6.050,001,
134,-133.898,139.156,,11.084,6.228,001,
135,-131.115,137.570,,11.209,6.405,001,
136,-128.364,134.852,,11.337,6.581,001,
137,-125.667,131.031,,11.468,6.757,001,
138,-123.046,126.151,,11.603,6.933,001,
139,-120.523,120.259,,11.742,7.108,001,
140,-118.118,113.414,,11.884,7.284,001,
141,-115.850,105.677,,12.030,7.460,001,
142,-113.736,97.115,,12.179,7.636,001,
143,-111.794,87.800,,12.332,7.812,001,
144,-110.038,77.803,,12.488,7.989,001,
145,-108.482,67.201,,12.648,8.166,001,
146,-107.138,56.070,,12.811,8.344,001,
147,-106.016,44.488,,12.978,8.523,001,
148,-105.127,32.533,,13.148,8.701,001,
149,-104.476,20.287,,13.322,8.880,001,
150,-104.070,7.827,,13.500,9.060,001,
151,-103.914,-12.393,,13.681,8.874,000,
152,-104.162,-32.582,,13.859,8.688,000,
153,-104.813,-52.827,,14.033,8.502,000,
154,-105.870,-73.214,,14.203,8.315,000,
155,-107.334,-93.829,,14.369,8.128,000,
156,-109.211,-114.750,,14.531,7.939,000,
157,-111.506,-136.054,,14.690,7.748,000,
158,-114.227,-157.804,,14.845,7.555,000,
